Instance,combinatorial_lower_bound_value, combinatorial_time, pseudo_clique_statique_value,pseudo_clique_statique_time,pseudo_clique_robuste_value,pseudo_clique_robuste_time
10_ulysses_3.tsp,38.5094,0.0000,40.9583,0.0130,83.2863,0.0480
10_ulysses_6.tsp,6.0222,0.0000,7.2220,0.0100,49.2220,0.0450
10_ulysses_9.tsp,0.7203,0.0000,0.7203,0.0070,33.2919,0.0100
14_burma_3.tsp,49.4510,0.0000,57.7983,0.0180,74.5668,0.0850
14_burma_6.tsp,11.4087,0.0000,15.6785,0.0150,30.6785,0.0960
14_burma_9.tsp,3.9943,0.0000,4.7248,0.0140,20.5986,0.1540
22_ulysses_3.tsp,179.4621,0.0000,260.3138,0.1080,281.1480,0.7360
22_ulysses_6.tsp,44.8311,0.0000,70.0709,0.0590,78.4984,0.1490
22_ulysses_9.tsp,16.7974,0.0000,25.6431,0.0430,33.9494,0.1220
26_eil_3.tsp,1511.1080,0.0010,1570.0947,0.0590,1927.7626,0.7780
26_eil_6.tsp,485.2658,0.0000,505.2539,0.0390,763.4501,1.0620
26_eil_9.tsp,235.3130,0.0000,258.8690,0.0450,568.9922,3.3380
30_eil_3.tsp,2066.0711,0.0000,2233.4496,0.0880,2402.4273,1.0780
30_eil_6.tsp,668.7360,0.0000,724.0554,0.0720,904.4696,1.1120
30_eil_9.tsp,347.7138,0.0000,366.2822,0.0280,520.2636,0.7940
34_pr_3.tsp,396338.5710,0.0000,431758.3523,0.1950,525754.5035,4.6730
34_pr_6.tsp,114720.2777,0.0000,129046.4621,0.0830,223475.6174,18.6440
34_pr_9.tsp,56106.0359,0.0000,60559.7956,0.0760,136548.8203,12.3530
38_rat_3.tsp,5191.2591,0.0000,5540.3846,0.2750,7109.3564,11.0880
38_rat_6.tsp,1654.1475,0.0000,1749.8355,0.1510,3119.4631,71.8590
38_rat_9.tsp,824.4131,0.0000,875.8063,0.0840,2157.6904,241.6150
40_eil_3.tsp,4273.2685,0.0000,4569.3038,0.2710,5312.3922,12.0170
40_eil_6.tsp,1400.8330,0.0000,1490.4391,0.1090,2128.4753,11.2600
40_eil_9.tsp,726.0648,0.0000,767.7931,0.0830,1288.8945,12.2320
44_lin_3.tsp,84862.4907,0.0000,105417.7834,0.4090,129812.2371,27.5830
44_lin_6.tsp,23628.7920,0.0000,30076.7838,0.2230,54907.0599,194.3720
44_lin_9.tsp,10538.6540,0.0000,14318.3815,0.1540,32893.1664,261.6260
48_att_3.tsp,458687.4164,0.0000,521196.4825,0.7560,550708.3417,6.9200
48_att_6.tsp,136996.4579,0.0000,155559.0025,0.1560,186915.4042,23.3200
48_att_9.tsp,66031.3574,0.0000,79035.9642,0.1010,106817.9972,4.4850
52_berlin_3.tsp,93805.2448,0.0000,127236.5770,0.5070,141106.9626,24.6800
52_berlin_6.tsp,26663.7577,0.0000,39138.6577,0.2470,50460.2847,30.7770
52_berlin_9.tsp,12488.9482,0.0000,19720.8956,0.2900,30555.7491,198.3100
70_st_3.tsp,19164.2800,0.0000,20339.5949,1.4550,21783.6930,10.2470
70_st_6.tsp,6107.8648,0.0000,6483.4344,0.4220,7836.4338,47.9830
70_st_9.tsp,3066.2354,0.0000,3273.3820,0.3790,4461.6134,29.8500
80_gr_3.tsp,14666.8595,0.0000,16125.7482,3.1440,17482.7634,37.3620
80_gr_6.tsp,4452.2970,0.0000,5092.7337,1.0280,6362.5951,117.5770
80_gr_9.tsp,2170.4602,0.0000,2537.6941,0.7050,3774.4284,80.8520
100_kroA_3.tsp,1188742.5535,0.0000,1247470.5725,3.0650,1315922.4609,107.2470
100_kroA_6.tsp,381297.2025,0.0000,399480.6998,1.0100,455410.5856,114.2080
100_kroA_9.tsp,190813.7341,0.0000,202555.6986,1.3030,256100.3594,124.9650
202_gr_3.tsp,41162.2560,0.0010,53724.5177,300.7070,54991.1063,302.0090
202_gr_6.tsp,13439.7732,0.0010,18781.4598,167.2350,18891.2640,301.9930
202_gr_9.tsp,6978.7563,0.0010,9774.7648,20.4570,10376.6194,301.9840
318_lin_3.tsp,14454856.3627,0.0010,15183928.6056,302.2830,15414696.7361,305.4670
318_lin_6.tsp,4666367.9361,0.0020,4887027.7394,161.7300,5103538.4377,304.4180
318_lin_9.tsp,2390541.0066,0.0020,2510929.7671,59.2070,2709730.9178,304.3410
400_rd_3.tsp,6607449.6399,0.0020,6950063.4514,303.5320,6978314.8074,307.7550
400_rd_6.tsp,2200186.1644,0.0010,2299899.4876,303.7310,2322549.0186,307.6870
400_rd_9.tsp,1165318.3878,0.0020,1211938.7982,194.8040,1234579.1569,308.3200
532_att_3.tsp,50896226.0060,0.0040,63676335.1542,306.4210,64943127.3282,323.1710
532_att_6.tsp,16111725.5460,0.0130,20193435.2045,312.4720,0.0000,321.0060
