Instance,Status,BestObj,BestBound,Gap,Time,SolutionSize
10_ulysses_3.tsp,OPTIMAL,136.9953,136.9953,0.0000,0.3700,10
10_ulysses_6.tsp,OPTIMAL,55.1194,55.1194,0.0000,1.6250,10
10_ulysses_9.tsp,OPTIMAL,33.2919,33.2919,0.0000,0.6930,10
14_burma_3.tsp,OPTIMAL,93.3900,93.3900,0.0000,1.8280,14
14_burma_6.tsp,OPTIMAL,42.7406,42.7406,0.0000,39.9300,14
14_burma_9.tsp,FEASIBLE,20.7624,0.0000,1.0000,300.1890,14
22_ulysses_3.tsp,OPTIMAL,358.6368,358.6368,0.0000,66.9510,22
22_ulysses_6.tsp,FEASIBLE,118.0952,26.0081,0.7798,300.2270,22
22_ulysses_9.tsp,FEASIBLE,64.9736,0.0000,1.0000,300.6880,22
26_eil_3.tsp,FEASIBLE,2504.6338,1205.7309,0.5186,300.3250,26
26_eil_6.tsp,FEASIBLE,1335.3957,156.0921,0.8831,300.2860,26
26_eil_9.tsp,NOTFOUND,Inf,-Inf,NaN,300.5100,0
30_eil_3.tsp,FEASIBLE,3021.1103,1458.3831,0.5173,300.2280,30
30_eil_6.tsp,FEASIBLE,1782.6368,173.3121,0.9028,300.0420,30
30_eil_9.tsp,FEASIBLE,1157.1769,0.0000,1.0000,300.2240,30
34_pr_3.tsp,FEASIBLE,834589.5480,276823.8401,0.6683,300.0340,34
34_pr_6.tsp,FEASIBLE,371233.9309,28810.2801,0.9224,300.1440,34
34_pr_9.tsp,NOTFOUND,Inf,-Inf,NaN,308.4860,0
38_rat_3.tsp,FEASIBLE,11290.8172,3163.6690,0.7198,300.1900,38
38_rat_6.tsp,FEASIBLE,7449.3758,385.3842,0.9483,300.1870,38
38_rat_9.tsp,NOTFOUND,Inf,-Inf,NaN,304.2660,0
40_eil_3.tsp,FEASIBLE,9572.4222,1974.9594,0.7937,300.1660,40
40_eil_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.1180,0
40_eil_9.tsp,NOTFOUND,Inf,-Inf,NaN,301.4970,0
44_lin_3.tsp,FEASIBLE,198086.2597,20971.2252,0.8941,300.2340,44
44_lin_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.1180,0
44_lin_9.tsp,NOTFOUND,Inf,-Inf,NaN,301.2860,0
48_att_3.tsp,FEASIBLE,823573.4217,113384.5561,0.8623,300.2850,48
48_att_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.1350,0
48_att_9.tsp,NOTFOUND,Inf,-Inf,NaN,303.1130,0
52_berlin_3.tsp,FEASIBLE,207950.6584,9683.7376,0.9534,300.1330,52
52_berlin_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.1200,0
52_berlin_9.tsp,NOTFOUND,Inf,-Inf,NaN,300.0460,0
70_st_3.tsp,NOTFOUND,Inf,-Inf,NaN,300.0480,0
70_st_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.7360,0
70_st_9.tsp,NOTFOUND,Inf,-Inf,NaN,304.6560,0
80_gr_3.tsp,NOTFOUND,Inf,-Inf,NaN,300.0430,0
80_gr_6.tsp,NOTFOUND,Inf,-Inf,NaN,302.2850,0
80_gr_9.tsp,NOTFOUND,Inf,-Inf,NaN,316.2410,0
100_kroA_3.tsp,NOTFOUND,Inf,-Inf,NaN,300.0400,0
100_kroA_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.7360,0
100_kroA_9.tsp,NOTFOUND,Inf,-Inf,NaN,300.0590,0
202_gr_3.tsp,FEASIBLE,84371.1255,0.0000,1.0000,300.1170,202
202_gr_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.1050,0
202_gr_9.tsp,NOTFOUND,Inf,-Inf,NaN,305.2670,0
318_lin_3.tsp,NOTFOUND,Inf,-Inf,NaN,300.0830,0
318_lin_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.1150,0
318_lin_9.tsp,NOTFOUND,Inf,-Inf,NaN,300.0890,0
400_rd_3.tsp,NOTFOUND,Inf,-Inf,NaN,300.0730,0
400_rd_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.1490,0
400_rd_9.tsp,NOTFOUND,Inf,-Inf,NaN,300.2550,0
532_att_3.tsp,NOTFOUND,Inf,-Inf,NaN,346.8900,0
532_att_6.tsp,NOTFOUND,Inf,-Inf,NaN,357.7650,0
532_att_9.tsp,NOTFOUND,Inf,-Inf,NaN,35.5070,0
