Instance,Status,BestObj,BestBound,Gap,Time,SolutionSize
10_ulysses_3.tsp,FEASIBLE,136.9953,136.9953,0.0000,0.9060,10
10_ulysses_6.tsp,FEASIBLE,55.1194,41.6261,0.2448,0.3350,10
10_ulysses_9.tsp,FEASIBLE,33.2919,7.6821,0.7692,0.2660,10
14_burma_3.tsp,FEASIBLE,93.3900,92.6371,0.0081,1.1000,14
14_burma_6.tsp,FEASIBLE,42.7406,37.6878,0.1182,0.4620,14
14_burma_9.tsp,FEASIBLE,20.7624,12.9929,0.3742,0.2430,14
22_ulysses_3.tsp,FEASIBLE,363.3531,353.0215,0.0284,14.3700,22
22_ulysses_6.tsp,FEASIBLE,117.6004,111.3328,0.0533,2.9340,22
22_ulysses_9.tsp,FEASIBLE,64.9736,64.5447,0.0066,2.7810,22
26_eil_3.tsp,FEASIBLE,2297.6296,2233.4802,0.0279,44.8850,26
26_eil_6.tsp,FEASIBLE,982.6897,808.4801,0.1773,4.6370,26
26_eil_9.tsp,FEASIBLE,746.5747,514.9303,0.3103,7.3980,26
30_eil_3.tsp,FEASIBLE,3021.1103,3002.0311,0.0063,166.1530,30
30_eil_6.tsp,FEASIBLE,1324.4195,1111.1928,0.1610,28.2630,30
30_eil_9.tsp,FEASIBLE,713.9718,654.5914,0.0832,7.9820,30
34_pr_3.tsp,FEASIBLE,682151.8843,584635.4353,0.1430,300.0850,34
34_pr_6.tsp,FEASIBLE,286335.4741,230179.3853,0.1961,80.6740,34
34_pr_9.tsp,FEASIBLE,190297.7068,124670.5858,0.3449,19.7800,34
38_rat_3.tsp,FEASIBLE,8867.6926,7239.7567,0.1836,300.1600,38
38_rat_6.tsp,FEASIBLE,4240.1197,3099.6578,0.2690,300.7280,38
38_rat_9.tsp,FEASIBLE,2892.4648,1892.1013,0.3459,67.8480,38
40_eil_3.tsp,FEASIBLE,6722.5982,5579.8853,0.1700,300.1570,40
40_eil_6.tsp,FEASIBLE,2881.4292,2280.5140,0.2085,300.1380,40
40_eil_9.tsp,FEASIBLE,1794.4315,1330.9762,0.2583,51.4620,40
44_lin_3.tsp,FEASIBLE,174053.9579,121328.7131,0.3029,300.1390,44
44_lin_6.tsp,FEASIBLE,78572.5486,50236.8678,0.3606,300.3380,44
44_lin_9.tsp,FEASIBLE,43094.9585,29398.1907,0.3178,123.2600,44
48_att_3.tsp,FEASIBLE,746472.7570,328623.2223,0.5598,300.1150,48
48_att_6.tsp,FEASIBLE,525786.5802,128639.2899,0.7553,300.3280,48
48_att_9.tsp,FEASIBLE,177983.3876,125889.0507,0.2927,108.7390,48
52_berlin_3.tsp,FEASIBLE,188965.5016,152139.1473,0.1949,300.3320,52
52_berlin_6.tsp,FEASIBLE,75620.0242,55942.8439,0.2602,300.3050,52
52_berlin_9.tsp,FEASIBLE,58699.8375,31066.9415,0.4707,301.4750,52
70_st_3.tsp,FEASIBLE,28591.7884,-Inf,Inf,300.5950,70
70_st_6.tsp,FEASIBLE,12091.4679,-102.6345,1.0085,300.2590,70
70_st_9.tsp,FEASIBLE,7530.6426,3954.4422,0.4749,300.3140,70
80_gr_3.tsp,FEASIBLE,22854.6178,-Inf,Inf,301.6180,80
80_gr_6.tsp,FEASIBLE,9027.1988,-Inf,Inf,300.2720,80
80_gr_9.tsp,FEASIBLE,6295.4722,2808.1440,0.5539,300.2870,80
100_kroA_3.tsp,FEASIBLE,1654667.6574,-Inf,Inf,307.0410,100
100_kroA_6.tsp,FEASIBLE,635609.5080,-Inf,Inf,300.8290,100
100_kroA_9.tsp,FEASIBLE,416479.9670,-83678.1913,1.2009,300.4240,100
202_gr_3.tsp,FEASIBLE,71577.9100,-168822.5999,3.3586,334.0020,202
202_gr_6.tsp,FEASIBLE,29659.5930,-Inf,Inf,320.2380,202
202_gr_9.tsp,FEASIBLE,17438.3511,-Inf,Inf,304.0060,202
318_lin_3.tsp,FEASIBLE,20285837.8600,-136052653.1564,7.7068,439.5660,318
318_lin_6.tsp,FEASIBLE,6752187.4716,-Inf,Inf,361.2470,318
318_lin_9.tsp,FEASIBLE,3739114.6866,-Inf,Inf,338.0920,318
400_rd_3.tsp,FEASIBLE,8996120.6024,-76812215.0691,9.5384,373.6250,400
400_rd_6.tsp,FEASIBLE,3182730.8286,-44395352.9753,14.9488,432.4910,400
400_rd_9.tsp,FEASIBLE,1784249.0067,-Inf,Inf,367.8100,400
