Instance,Status,BestObj,BestBound,Gap,Time,SolutionSize
10_ulysses_3.tsp,FEASIBLE,139.8994,0.0000,1.0000,0.4280,10
10_ulysses_6.tsp,FEASIBLE,55.1194,0.0000,1.0000,3.2130,10
10_ulysses_9.tsp,FEASIBLE,38.7976,0.0000,1.0000,3.5430,10
14_burma_3.tsp,FEASIBLE,112.6233,0.0000,1.0000,0.7030,14
14_burma_6.tsp,FEASIBLE,42.7406,0.0000,1.0000,4.7850,14
14_burma_9.tsp,FEASIBLE,20.7624,0.0000,1.0000,4.3600,14
22_ulysses_3.tsp,FEASIBLE,358.6368,0.0000,1.0000,1.7590,22
22_ulysses_6.tsp,FEASIBLE,156.9805,0.0000,1.0000,11.2460,22
22_ulysses_9.tsp,FEASIBLE,64.9736,0.0000,1.0000,8.3870,22
26_eil_3.tsp,FEASIBLE,2378.6072,0.0000,1.0000,32.0860,26
26_eil_6.tsp,FEASIBLE,989.5680,0.0000,1.0000,17.8000,26
26_eil_9.tsp,FEASIBLE,746.5747,0.0000,1.0000,11.1620,26
30_eil_3.tsp,FEASIBLE,3043.7890,0.0000,1.0000,4.5590,30
30_eil_6.tsp,FEASIBLE,1244.1944,0.0000,1.0000,25.5800,30
30_eil_9.tsp,FEASIBLE,747.1688,0.0000,1.0000,16.6940,30
34_pr_3.tsp,FEASIBLE,687612.5979,0.0000,1.0000,6.7300,34
34_pr_6.tsp,FEASIBLE,317772.4887,0.0000,1.0000,35.4540,34
34_pr_9.tsp,FEASIBLE,185173.0465,0.0000,1.0000,23.7230,34
38_rat_3.tsp,FEASIBLE,8874.9075,0.0000,1.0000,85.7510,38
38_rat_6.tsp,FEASIBLE,4251.0211,0.0000,1.0000,43.8260,38
38_rat_9.tsp,FEASIBLE,2829.1923,0.0000,1.0000,30.7030,38
40_eil_3.tsp,FEASIBLE,6451.0427,0.0000,1.0000,97.0030,40
40_eil_6.tsp,FEASIBLE,2973.2106,0.0000,1.0000,5.2380,40
40_eil_9.tsp,FEASIBLE,1859.1941,0.0000,1.0000,33.6590,40
44_lin_3.tsp,FEASIBLE,176960.4449,0.0000,1.0000,121.5060,44
44_lin_6.tsp,FEASIBLE,75202.3824,0.0000,1.0000,6.2540,44
44_lin_9.tsp,FEASIBLE,42012.8774,0.0000,1.0000,39.0930,44
48_att_3.tsp,FEASIBLE,646915.3719,0.0000,1.0000,147.0730,48
48_att_6.tsp,FEASIBLE,325081.5800,0.0000,1.0000,74.4260,48
48_att_9.tsp,FEASIBLE,168610.3675,0.0000,1.0000,51.2790,48
52_berlin_3.tsp,FEASIBLE,171519.2675,0.0000,1.0000,18.0520,52
52_berlin_6.tsp,FEASIBLE,71874.4730,0.0000,1.0000,98.4190,52
52_berlin_9.tsp,FEASIBLE,53672.4532,0.0000,1.0000,65.9510,52
70_st_3.tsp,FEASIBLE,25668.9408,0.0000,1.0000,353.4300,70
70_st_6.tsp,FEASIBLE,10749.0363,0.0000,1.0000,20.1380,70
70_st_9.tsp,FEASIBLE,6213.3639,0.0000,1.0000,127.0960,70
80_gr_3.tsp,FEASIBLE,21881.6858,0.0000,1.0000,430.6630,80
80_gr_6.tsp,FEASIBLE,8461.3714,0.0000,1.0000,23.8140,80
80_gr_9.tsp,FEASIBLE,5710.4469,0.0000,1.0000,158.2790,80
100_kroA_3.tsp,FEASIBLE,1582797.3937,0.0000,1.0000,82.7630,100
100_kroA_6.tsp,FEASIBLE,591684.8052,0.0000,1.0000,456.7960,100
100_kroA_9.tsp,FEASIBLE,350074.9713,0.0000,1.0000,297.6920,100
202_gr_3.tsp,FEASIBLE,81576.1545,0.0000,1.0000,98.5360,202
202_gr_6.tsp,FEASIBLE,26983.9751,0.0000,1.0000,106.6250,202
202_gr_9.tsp,FEASIBLE,15957.5277,0.0000,1.0000,146.5060,202
318_lin_3.tsp,FEASIBLE,20857632.0104,0.0000,1.0000,130.5800,318
318_lin_6.tsp,FEASIBLE,6982427.6558,0.0000,1.0000,166.4050,318
318_lin_9.tsp,FEASIBLE,3440147.2639,0.0000,1.0000,228.8160,318
400_rd_3.tsp,FEASIBLE,9160530.4281,0.0000,1.0000,135.1690,400
400_rd_6.tsp,FEASIBLE,3406632.8621,0.0000,1.0000,137.5950,400
400_rd_9.tsp,FEASIBLE,2009553.0728,0.0000,1.0000,149.3850,400
532_att_3.tsp,FEASIBLE,111561614.2751,0.0000,1.0000,135.5400,532
532_att_6.tsp,FEASIBLE,33540725.5524,0.0000,1.0000,159.5670,532
532_att_9.tsp,FEASIBLE,22856329.9881,0.0000,1.0000,172.1190,532
