Instance,Status,BestObj,BestBound,Gap,Time,SolutionSize
10_ulysses_3.tsp,FEASIBLE,54.3548,-Inf,Inf,0.0000,10
10_ulysses_6.tsp,FEASIBLE,15.8996,-Inf,Inf,0.0000,10
10_ulysses_9.tsp,FEASIBLE,1.2594,-Inf,Inf,0.0000,10
14_burma_3.tsp,FEASIBLE,67.5913,-Inf,Inf,0.0000,14
14_burma_6.tsp,FEASIBLE,19.0269,-Inf,Inf,0.0000,14
14_burma_9.tsp,FEASIBLE,6.3135,-Inf,Inf,0.0010,14
22_ulysses_3.tsp,FEASIBLE,290.8544,-Inf,Inf,0.0000,22
22_ulysses_6.tsp,FEASIBLE,83.9579,-Inf,Inf,0.0000,22
22_ulysses_9.tsp,FEASIBLE,29.8437,-Inf,Inf,0.0000,22
26_eil_3.tsp,FEASIBLE,1850.4197,-Inf,Inf,0.0000,26
26_eil_6.tsp,FEASIBLE,611.7514,-Inf,Inf,0.0010,26
26_eil_9.tsp,FEASIBLE,317.7642,-Inf,Inf,0.0000,26
30_eil_3.tsp,FEASIBLE,2696.5967,-Inf,Inf,0.0000,30
30_eil_6.tsp,FEASIBLE,871.0474,-Inf,Inf,0.0000,30
30_eil_9.tsp,FEASIBLE,509.7856,-Inf,Inf,0.0000,30
34_pr_3.tsp,FEASIBLE,493480.2457,-Inf,Inf,0.0000,34
34_pr_6.tsp,FEASIBLE,173128.1676,-Inf,Inf,0.0000,34
34_pr_9.tsp,FEASIBLE,88894.4217,-Inf,Inf,0.0000,34
38_rat_3.tsp,FEASIBLE,7173.0488,-Inf,Inf,0.0000,38
38_rat_6.tsp,FEASIBLE,2231.5462,-Inf,Inf,0.0000,38
38_rat_9.tsp,FEASIBLE,1215.7524,-Inf,Inf,0.0000,38
40_eil_3.tsp,FEASIBLE,5628.3640,-Inf,Inf,0.0000,40
40_eil_6.tsp,FEASIBLE,1886.8858,-Inf,Inf,0.0000,40
40_eil_9.tsp,FEASIBLE,956.7118,-Inf,Inf,0.0000,40
44_lin_3.tsp,FEASIBLE,131489.4139,-Inf,Inf,0.0000,44
44_lin_6.tsp,FEASIBLE,39661.6520,-Inf,Inf,0.0010,44
44_lin_9.tsp,FEASIBLE,21003.9022,-Inf,Inf,0.0010,44
48_att_3.tsp,FEASIBLE,596154.1075,-Inf,Inf,0.0000,48
48_att_6.tsp,FEASIBLE,222547.9230,-Inf,Inf,0.0010,48
48_att_9.tsp,FEASIBLE,106401.8401,-Inf,Inf,0.0000,48
52_berlin_3.tsp,FEASIBLE,158176.4641,-Inf,Inf,0.0010,52
52_berlin_6.tsp,FEASIBLE,56271.9199,-Inf,Inf,0.0000,52
52_berlin_9.tsp,FEASIBLE,25148.1390,-Inf,Inf,0.0010,52
70_st_3.tsp,FEASIBLE,23503.4275,-Inf,Inf,0.0000,70
70_st_6.tsp,FEASIBLE,7919.8428,-Inf,Inf,0.0010,70
70_st_9.tsp,FEASIBLE,4196.6583,-Inf,Inf,0.0010,70
80_gr_3.tsp,FEASIBLE,19940.7520,-Inf,Inf,0.0010,80
80_gr_6.tsp,FEASIBLE,6685.2351,-Inf,Inf,0.0010,80
80_gr_9.tsp,FEASIBLE,3347.8460,-Inf,Inf,0.0000,80
100_kroA_3.tsp,FEASIBLE,1454431.7390,-Inf,Inf,0.0000,100
100_kroA_6.tsp,FEASIBLE,529400.5216,-Inf,Inf,0.0010,100
100_kroA_9.tsp,FEASIBLE,266683.6691,-Inf,Inf,0.0010,100
202_gr_3.tsp,FEASIBLE,66886.9362,-Inf,Inf,0.0080,202
202_gr_6.tsp,FEASIBLE,24137.5348,-Inf,Inf,0.0110,202
202_gr_9.tsp,FEASIBLE,13083.8724,-Inf,Inf,0.0340,202
318_lin_3.tsp,FEASIBLE,18429935.7200,-Inf,Inf,0.0060,318
318_lin_6.tsp,FEASIBLE,5807989.5896,-Inf,Inf,0.0070,318
318_lin_9.tsp,FEASIBLE,2928041.5617,-Inf,Inf,0.0070,318
400_rd_3.tsp,FEASIBLE,8408939.9619,-Inf,Inf,0.0110,400
400_rd_6.tsp,FEASIBLE,2848630.4987,-Inf,Inf,0.0120,400
400_rd_9.tsp,FEASIBLE,1484087.6521,-Inf,Inf,0.0320,400
532_att_3.tsp,FEASIBLE,79809808.0028,-Inf,Inf,0.0790,532
532_att_6.tsp,FEASIBLE,24728699.5960,-Inf,Inf,0.0600,532
532_att_9.tsp,FEASIBLE,13204261.3262,-Inf,Inf,0.1240,532
