Instance,Status,BestObj,BestBound,Gap,Time,SolutionSize
10_ulysses_3.tsp,OPTIMAL,136.9953,136.9953,0.0000,0.1460,10
10_ulysses_6.tsp,OPTIMAL,55.1194,55.1194,0.0000,0.1680,10
10_ulysses_9.tsp,OPTIMAL,33.2919,33.2919,0.0000,0.0820,10
14_burma_3.tsp,OPTIMAL,93.3900,93.3900,0.0000,0.4410,14
14_burma_6.tsp,OPTIMAL,42.7406,42.7406,0.0000,0.4830,14
14_burma_9.tsp,OPTIMAL,20.7624,20.7624,0.0000,0.4010,14
22_ulysses_3.tsp,OPTIMAL,358.6368,358.6368,0.0000,5.7580,22
22_ulysses_6.tsp,OPTIMAL,116.5288,116.5288,0.0000,34.8220,22
22_ulysses_9.tsp,OPTIMAL,64.9736,64.9736,0.0000,6.8710,22
26_eil_3.tsp,OPTIMAL,2297.6296,2297.6296,0.0000,184.4540,26
26_eil_6.tsp,FEASIBLE,1074.2719,633.7777,0.4100,300.2610,26
26_eil_9.tsp,FEASIBLE,741.5379,482.7742,0.3490,300.1270,26
30_eil_3.tsp,FEASIBLE,3043.7890,2430.5130,0.2015,300.8040,30
30_eil_6.tsp,FEASIBLE,1292.8817,681.0850,0.4732,300.0570,30
30_eil_9.tsp,FEASIBLE,758.1245,515.5157,0.3200,300.1080,30
34_pr_3.tsp,FEASIBLE,688469.1744,435110.2097,0.3680,300.0990,34
34_pr_6.tsp,FEASIBLE,306321.6831,139853.4718,0.5434,300.1280,34
34_pr_9.tsp,FEASIBLE,207029.1817,66841.8805,0.6771,300.1820,34
38_rat_3.tsp,FEASIBLE,8586.6015,4859.9904,0.4340,300.1680,38
38_rat_6.tsp,FEASIBLE,4732.6620,1367.6279,0.7110,300.0990,38
38_rat_9.tsp,FEASIBLE,3673.9298,601.1198,0.8364,300.0350,38
40_eil_3.tsp,FEASIBLE,7605.1334,3111.2269,0.5909,300.1660,40
40_eil_6.tsp,FEASIBLE,3712.0904,841.3393,0.7734,300.0520,40
40_eil_9.tsp,FEASIBLE,2338.1562,470.9824,0.7986,300.0360,40
44_lin_3.tsp,FEASIBLE,188113.5428,72020.8363,0.6171,300.0300,44
44_lin_6.tsp,FEASIBLE,96465.2063,24334.2566,0.7477,300.0370,44
44_lin_9.tsp,FEASIBLE,60313.2735,8692.8373,0.8559,300.0240,44
48_att_3.tsp,FEASIBLE,698656.2476,361001.4549,0.4833,300.1780,48
48_att_6.tsp,FEASIBLE,318315.6771,66002.0287,0.7927,300.0330,48
48_att_9.tsp,FEASIBLE,226837.7656,24947.0619,0.8900,300.0700,48
52_berlin_3.tsp,FEASIBLE,197702.7180,64617.8164,0.6732,300.0200,52
52_berlin_6.tsp,FEASIBLE,92194.6699,13717.0025,0.8512,300.0590,52
52_berlin_9.tsp,FEASIBLE,70531.2720,5744.8675,0.9185,300.0970,52
70_st_3.tsp,FEASIBLE,38033.8702,6496.2883,0.8292,300.0110,70
70_st_6.tsp,FEASIBLE,15018.3596,1736.6099,0.8844,300.4430,70
70_st_9.tsp,FEASIBLE,11564.7547,576.5293,0.9501,300.0400,70
80_gr_3.tsp,FEASIBLE,24597.0720,5381.9506,0.7812,300.0100,80
80_gr_6.tsp,FEASIBLE,14509.6234,1401.3684,0.9034,300.0480,80
80_gr_9.tsp,FEASIBLE,10208.5077,734.0134,0.9281,300.0340,80
100_kroA_3.tsp,FEASIBLE,1997431.9992,222411.4344,0.8887,300.0280,100
100_kroA_6.tsp,FEASIBLE,1296032.1749,65258.3850,0.9496,300.0400,100
100_kroA_9.tsp,FEASIBLE,989952.4543,12401.9419,0.9875,300.0820,100
202_gr_3.tsp,FEASIBLE,101208.9780,3465.9948,0.9658,300.2250,202
202_gr_6.tsp,FEASIBLE,143722.9884,538.0003,0.9963,300.1790,202
202_gr_9.tsp,FEASIBLE,31198.0508,0.0000,1.0000,300.1820,202
318_lin_3.tsp,FEASIBLE,30395877.7361,270503.5520,0.9911,300.1650,318
318_lin_6.tsp,NOTFOUND,Inf,-Inf,NaN,300.0000,0
318_lin_9.tsp,FEASIBLE,77567343.6013,0.0000,1.0000,300.1320,318
400_rd_3.tsp,FEASIBLE,14061173.9524,44579.9897,0.9968,300.1050,400
400_rd_6.tsp,FEASIBLE,16725215.3797,0.0000,1.0000,300.1490,400
400_rd_9.tsp,NOTFOUND,Inf,-Inf,NaN,300.0000,0
532_att_3.tsp,FEASIBLE,143532861.5339,392477.5284,0.9973,302.6170,532
532_att_6.tsp,FEASIBLE,58597381.5730,0.0000,1.0000,300.2360,532
532_att_9.tsp,NOTFOUND,Inf,-Inf,NaN,300.0000,0
