Instance,Status,BestObj,BestBound,Gap,Time,SolutionSize
10_ulysses_3.tsp,OPTIMAL,54.3548,54.3548,0.0000,0.1450,10
10_ulysses_6.tsp,OPTIMAL,7.2220,7.2220,0.0000,0.0600,10
10_ulysses_9.tsp,OPTIMAL,0.7203,0.7203,0.0000,0.0340,10
14_burma_3.tsp,OPTIMAL,66.2137,66.2137,0.0000,0.1880,14
14_burma_6.tsp,OPTIMAL,17.9622,17.9622,0.0000,0.5060,14
14_burma_9.tsp,OPTIMAL,4.7248,4.7248,0.0000,1.8830,14
22_ulysses_3.tsp,OPTIMAL,284.2098,284.2098,0.0000,0.4220,22
22_ulysses_6.tsp,OPTIMAL,82.6310,82.6310,0.0000,8.8230,22
22_ulysses_9.tsp,OPTIMAL,26.2172,26.2172,0.0000,2.2660,22
26_eil_3.tsp,OPTIMAL,1850.4197,1850.4197,0.0000,16.9080,26
26_eil_6.tsp,OPTIMAL,608.7185,608.7185,0.0000,104.3040,26
26_eil_9.tsp,OPTIMAL,317.7642,317.7642,0.0000,159.3440,26
30_eil_3.tsp,OPTIMAL,2693.0461,2672.0857,0.0000,22.0500,30
30_eil_6.tsp,OPTIMAL,868.3894,868.3894,0.0000,143.9370,30
30_eil_9.tsp,FEASIBLE,466.3268,348.2721,0.2532,300.1030,30
34_pr_3.tsp,OPTIMAL,493480.2457,491260.3914,0.0000,32.7640,34
34_pr_6.tsp,FEASIBLE,163762.4083,138936.2079,0.1516,300.0530,34
34_pr_9.tsp,FEASIBLE,82153.7983,58250.9744,0.2910,300.0610,34
38_rat_3.tsp,OPTIMAL,6505.4475,6505.4475,0.0000,109.3880,38
38_rat_6.tsp,FEASIBLE,2193.7085,1888.2911,0.1392,300.0710,38
38_rat_9.tsp,FEASIBLE,1155.3976,557.8258,0.5172,300.0860,38
40_eil_3.tsp,FEASIBLE,5495.4171,5118.2051,0.0686,300.0120,40
40_eil_6.tsp,FEASIBLE,1863.2033,1130.9799,0.3930,300.0550,40
40_eil_9.tsp,FEASIBLE,944.5908,482.0109,0.4897,300.0380,40
44_lin_3.tsp,FEASIBLE,129765.8003,107921.9469,0.1683,300.0410,44
44_lin_6.tsp,FEASIBLE,38940.5051,17932.4440,0.5395,300.1870,44
44_lin_9.tsp,FEASIBLE,21607.6718,3144.3604,0.8545,300.1640,44
48_att_3.tsp,OPTIMAL,593320.9650,593320.9650,0.0000,226.8950,48
48_att_6.tsp,FEASIBLE,200663.6341,81463.3932,0.5940,300.0780,48
48_att_9.tsp,FEASIBLE,98640.7879,14641.7938,0.8516,300.1170,48
52_berlin_3.tsp,FEASIBLE,159456.3919,77833.9133,0.5119,300.0830,52
52_berlin_6.tsp,FEASIBLE,51862.1532,6707.7623,0.8707,300.0200,52
52_berlin_9.tsp,FEASIBLE,25810.9159,1784.8871,0.9308,300.0310,52
70_st_3.tsp,FEASIBLE,23503.4275,18760.2876,0.2018,300.0170,70
70_st_6.tsp,FEASIBLE,8099.6859,775.8716,0.9042,300.0610,70
70_st_9.tsp,FEASIBLE,4177.2100,326.0908,0.9219,300.2740,70
80_gr_3.tsp,FEASIBLE,19640.5180,11279.0234,0.4257,300.0230,80
80_gr_6.tsp,FEASIBLE,6139.9107,279.8651,0.9544,300.0180,80
80_gr_9.tsp,FEASIBLE,3246.3904,165.1980,0.9491,300.1300,80
100_kroA_3.tsp,FEASIBLE,1454431.7390,424611.7211,0.7081,300.0180,100
100_kroA_6.tsp,FEASIBLE,504748.2103,13577.6338,0.9731,300.0510,100
100_kroA_9.tsp,FEASIBLE,241410.6773,3969.5572,0.9836,301.1510,100
202_gr_3.tsp,FEASIBLE,64992.9636,35542.5431,0.4531,300.0780,202
202_gr_6.tsp,FEASIBLE,24420.3545,124.9473,0.9949,300.2060,202
202_gr_9.tsp,FEASIBLE,13142.0408,3.3294,0.9997,300.3150,202
318_lin_3.tsp,FEASIBLE,18671783.9826,9261800.9944,0.5040,300.5520,318
318_lin_6.tsp,FEASIBLE,5833529.6349,4426.2929,0.9992,300.5670,318
318_lin_9.tsp,FEASIBLE,2929125.7709,0.0000,1.0000,300.2770,318
400_rd_3.tsp,FEASIBLE,8412985.9239,5710435.1968,0.3212,300.4890,400
400_rd_6.tsp,FEASIBLE,2869096.8475,714.3622,0.9998,302.2360,400
400_rd_9.tsp,FEASIBLE,1513817.1919,0.0000,1.0000,300.5740,400
532_att_3.tsp,FEASIBLE,77764808.8051,15217707.5106,0.8043,300.2550,532
532_att_6.tsp,FEASIBLE,24826199.4561,8896.2178,0.9996,301.4750,532
532_att_9.tsp,FEASIBLE,13250290.6546,0.0000,1.0000,302.6060,532
